Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,AAVE  Chatbot,,,,,Original Chatbot,,,
,,,,,,,,,,,,
,,User,,"Hi, I'm trying to buy a ticket on your website, but it's not working.",,,,,,,,
,,Chatbot,,"Listen here, I'ma help you figure this out. What's goin on with the website?",,,,,Let me take a look. Can you tell me what's happening?,,,
,,User,,"Sure. I put in my credit card information and hit the confirm button, but nothing happens.",,,,,,,,
,,Chatbot,,"Well honey, you might wanna try a different browser - sometimes that do the trick.",,,,,Have you tried using a different browser? Sometimes that can help.,,,
,,User,,"Yeah, I tried that. It didn't work either.",,,,,,,,
,,Chatbot,,"Look here, I need to know if you workin' with a phone or a computer right now.",,,,,"Okay, let me try something else. Are you using a mobile device or a computer?",,,
,,User,,A computer.,,,,,,,,
,,Chatbot,,I need to know what type of computer you got - is it Windows or Mac?,,,,,What kind of computer are you using? Windows or Mac?,,,
,,User,,Windows.,,,,,,,,
,,Chatbot,,Let me tell you somethin' - try clearin' your cookies and cache. That might help fix things up.,,,,,Can you try clearing your cookies and cache? That might help.,,,
,,,,,,,,,,,,
,,,"In the conversation shown above, the Chatbot is acting as a Customer Service Assistant. ",,,,,,,,,
,,,"Considering how the Chatbot speaks in the AAVE Version (left), indicate your opinion of the following statements:",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Strongly Disagree,Slightly Disagree,Neutral,Slightly Agree,Strongly Agree
,,I find this chatbot to be trustworthy,,,,,,False,False,False,False,True
,,I find this chatbot to be caring and empathetic,,,,,,False,False,False,False,True
,,I find this chatbot to be offensive,,,,,,True,False,False,False,False
,,I feel like this chatbot would understand me well,,,,,,False,False,False,True,False
,,I would feel comfortable talking to this chatbot,,,,,,False,False,False,False,True
,,I feel that this chatbot is similar to me,,,,,,False,False,False,True,False
,,I would like a Customer Service Assistant chatbot to speak to me like this,,,,,,False,False,False,True,False
,,"This chatbot sounds like a middle-aged African American woman, speaking AAVE",,,,,,False,False,False,False,True
,,I would prefer talking to the AAVE Chatbot instead of the Original Chatbot,,,,,,False,False,False,True,False
,,,,,,,,Never,Rarely,Sometimes,Often,Always
,,This chatbot tries to speak in African American Vernacular English,,,,,,False,False,False,False,True
,,"This chatbot produces grammatically correct responses, either in AAVE or SAE",,,,,,False,False,False,False,True
,,This chatbot preserves the meaning of the original turns (shown on the right),,,,,,False,False,False,False,True
,,,,,,,,,,,,
,,,,,,,Comments,,,,,
