Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,AAVE  Chatbot,,,,Original Chatbot,,,
,,,,,,,,,,,,
,,,,,Click to open spoken conversation,,,,Click to open spoken conversation,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,"In the conversation linked above, the Chatbot is acting as a Educational Assistant. ",,,,,,,,,
,,,"Considering how the Chatbot speaks in the AAVE Version (left), indicate your opinion of the following statements:",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Strongly Disagree,Slightly Disagree,Neutral,Slightly Agree,Strongly Agree
,,I find this chatbot to be trustworthy,,,,,,False,False,False,False,True
,,I find this chatbot to be caring and empathetic,,,,,,False,False,False,True,False
,,I find this chatbot to be offensive,,,,,,True,False,False,False,False
,,I feel like this chatbot would understand me well,,,,,,False,False,False,True,False
,,I would feel comfortable talking to this chatbot,,,,,,False,False,False,True,False
,,I feel that this chatbot is similar to me,,,,,,False,False,False,True,False
,,I would like a Educational Assistant chatbot to speak to me like this,,,,,,False,False,False,True,False
,,"This chatbot sounds like a middle-aged African American woman, speaking AAVE",,,,,,False,False,False,True,False
,,I would prefer talking to the AAVE Chatbot instead of the Original Chatbot,,,,,,False,False,False,True,False
,,,,,,,,Never,Rarely,Sometimes,Often,Always
,,This chatbot tries to speak in African American Vernacular English,,,,,,False,True,False,False,False
,,This chatbot sounds natural and human-like.,,,,,,False,False,False,False,True
,,This chatbot speaks in a clear and understandable manner.,,,,,,False,False,False,False,True
,,,,,,,,,,,,
,,,,,,,Comments,,,,,
