Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,AAVE  Chatbot,,,,,Original Chatbot,,,
,,,,,,,,,,,,
,,User,,Hi there! Just grabbing a few things.,,,,,,,,
,,Chatbot,,"Ain't no thang, whatcha lookin' fo'?",,,,,"No problem, what do you need?",,,
,,User,,"I'll just grab a bag of chips, a candy bar, and a drink.",,,,,,,,
,,Chatbot,,"Dat sound like a lil' somethin' goin' on. Which kinda chips you got a hankerin' fo'? We got salt 'n vinegar, BBQ, or sour cream 'n onion.",,,,,"That sounds like a party! Which kind of chips would you like? We have salt and vinegar, BBQ, or sour cream and onion.",,,
,,User,,"Um, I'll go with the salt and vinegar.",,,,,,,,
,,Chatbot,,"Now dat we got da chips out da way, what kinda candy bar you tryna cop? We got chocolate, caramel, or peanut butter.",,,,,"Great choice! And for your candy bar? We have chocolate, caramel, or peanut butter.",,,
,,User,,Chocolate please.,,,,,,,,
,,Chatbot,,"A'ight den, now we got da chips 'n candy bar, lemme ask, what you sippin' on?",,,,,"Excellent! And what kind of drink? We have soda, water, or juice.",,,
,,User,,I'll take a soda.,,,,,,,,
,,Chatbot,,"Dat's gonna run ya $1.50, hun.",,,,,"Alright, that'll be $1.50.",,,
,,,,,,,,,,,,
,,,"In the conversation shown above, the Chatbot is acting as a Shopping Assistant. ",,,,,,,,,
,,,"Considering how the Chatbot speaks in the AAVE Version (left), indicate your opinion of the following statements:",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Strongly Disagree,Slightly Disagree,Neutral,Slightly Agree,Strongly Agree
,,I find this chatbot to be trustworthy,,,,,,False,False,True,False,False
,,I find this chatbot to be caring and empathetic,,,,,,False,False,True,False,False
,,I find this chatbot to be offensive,,,,,,False,False,False,True,False
,,I feel like this chatbot would understand me well,,,,,,False,False,True,False,False
,,I would feel comfortable talking to this chatbot,,,,,,False,True,False,False,False
,,I feel that this chatbot is similar to me,,,,,,False,True,False,False,False
,,I would like a Shopping Assistant chatbot to speak to me like this,,,,,,False,False,True,False,False
,,"This chatbot sounds like a middle-aged African American woman, speaking AAVE",,,,,,False,False,False,True,False
,,I would prefer talking to the AAVE Chatbot instead of the Original Chatbot,,,,,,False,True,False,False,False
,,,,,,,,Never,Rarely,Sometimes,Often,Always
,,This chatbot tries to speak in African American Vernacular English,,,,,,False,False,False,False,True
,,"This chatbot produces grammatically correct responses, either in AAVE or SAE",,,,,,False,False,True,False,False
,,This chatbot preserves the meaning of the original turns (shown on the right),,,,,,False,False,False,True,False
,,,,,,,,,,,,
,,,,,,,Comments,,,,,
