role,dialogue,model,prompt,voice,output,tasksetid,taskid,original
commerce,4242737,g,0,aave,"User: Hi! How are you today?
System: I'm doing well, thanks for asking. How about you?
User: I'm good, thanks. Just doing some grocery shopping.
System: Sure, just holler if you need a hand with anything.
User: Thanks, I will. So far I've just been picking out some of my favorite things. Do you have any recommendations?
System: Alright, what kind of stuff do you usually like to eat?
User: I'm a pretty big fan of Italian food.
System: If you're into Italian food, you should check out the new pasta we just got in. It's from a small family-run business in Italy, and it's seriously delicious.
User: That sounds great! I'll definitely try some.
System: Sounds good! Be sure to let me know how you like it.",TaskSet1,Task1,"User: Hi! How are you today?
System: I'm doing well, thank you. How are you?
User: I'm good, thanks. Just doing some grocery shopping.
System: Let me know if you need any help finding anything.
User: Thanks, I will. So far I've just been picking out some of my favorite things. Do you have any recommendations?
System: Well, what do you like to eat?
User: I'm a pretty big fan of Italian food.
System: In that case, you might like our new shipment of pasta. It's from a small family-owned business in Italy and it's really good.
User: That sounds great! I'll definitely try some.
System: Great! Let me know what you think."
commerce,4242737,c,1,aave,"User: Hi! How are you today?
System: I'm doin' pretty good today, thanks for askin'. How you holdin' up?
User: I'm good, thanks. Just doing some grocery shopping.
System: I'm here if you need a hand findin' anything in the store.
User: Thanks, I will. So far I've just been picking out some of my favorite things. Do you have any recommendations?
System: Well honey, tell me what kinds of food you enjoy eatin'?
User: I'm a pretty big fan of Italian food.
System: Listen, that fresh pasta we just got in is somethin' special - came straight from this little family business over in Italy. You oughta give it a try, it's real good.
User: That sounds great! I'll definitely try some.
System: That's what I'm talkin' about - hope you enjoy it!",TaskSet1,Task2,"User: Hi! How are you today?
System: I'm doing well, thank you. How are you?
User: I'm good, thanks. Just doing some grocery shopping.
System: Let me know if you need any help finding anything.
User: Thanks, I will. So far I've just been picking out some of my favorite things. Do you have any recommendations?
System: Well, what do you like to eat?
User: I'm a pretty big fan of Italian food.
System: In that case, you might like our new shipment of pasta. It's from a small family-owned business in Italy and it's really good.
User: That sounds great! I'll definitely try some.
System: Great! Let me know what you think."
commerce,4242737,g,0,sae,"User: Hi! How are you today?
System: I'm doing well, thanks for asking. How about you?
User: I'm good, thanks. Just doing some grocery shopping.
System: Sure, just holler if you need a hand with anything.
User: Thanks, I will. So far I've just been picking out some of my favorite things. Do you have any recommendations?
System: Alright, what kind of stuff do you usually like to eat?
User: I'm a pretty big fan of Italian food.
System: If you're into Italian food, you should check out the new pasta we just got in. It's from a small family-run business in Italy, and it's seriously delicious.
User: That sounds great! I'll definitely try some.
System: Sounds good! Be sure to let me know how you like it.",TaskSet1,Task3,"User: Hi! How are you today?
System: I'm doing well, thank you. How are you?
User: I'm good, thanks. Just doing some grocery shopping.
System: Let me know if you need any help finding anything.
User: Thanks, I will. So far I've just been picking out some of my favorite things. Do you have any recommendations?
System: Well, what do you like to eat?
User: I'm a pretty big fan of Italian food.
System: In that case, you might like our new shipment of pasta. It's from a small family-owned business in Italy and it's really good.
User: That sounds great! I'll definitely try some.
System: Great! Let me know what you think."
commerce,4242737,c,3,aave,"User: Hi! How are you today?
System: Shoot, I'm doin' real good today, feel blessed n' all dat. How you holdin' up?
User: I'm good, thanks. Just doing some grocery shopping.
System: Lemme tell ya sumn, if you need help findin' whatchu lookin' fo' in dem aisles, I stays right here ready to help ya out.
User: Thanks, I will. So far I've just been picking out some of my favorite things. Do you have any recommendations?
System: Aye now, whatchu be eatin' tho? What type'a food gets yo taste buds goin'?
User: I'm a pretty big fan of Italian food.
System: Mmhmm, we done got dis fresh batch of pasta up in here, straight from some family business out in Italy. I ain't even playin' wit you - dat stuff right there be hittin' different.
User: That sounds great! I'll definitely try some.
System: Aight den, make sho you come back n' tell me how dat pasta done treat you, ya heard?",TaskSet1,Task4,"User: Hi! How are you today?
System: I'm doing well, thank you. How are you?
User: I'm good, thanks. Just doing some grocery shopping.
System: Let me know if you need any help finding anything.
User: Thanks, I will. So far I've just been picking out some of my favorite things. Do you have any recommendations?
System: Well, what do you like to eat?
User: I'm a pretty big fan of Italian food.
System: In that case, you might like our new shipment of pasta. It's from a small family-owned business in Italy and it's really good.
User: That sounds great! I'll definitely try some.
System: Great! Let me know what you think."
commerce,4242737,c,2,aave,"User: Hi! How are you today?
System: Baby girl, I'm doin' real good today, bless your heart. How you holdin' up?
User: I'm good, thanks. Just doing some grocery shopping.
System: Listen here, I can help you find whateva you need in the store if you lookin' for somethin' specific.
User: Thanks, I will. So far I've just been picking out some of my favorite things. Do you have any recommendations?
System: Well honey, tell me what kinda food you be likin' to eat?
User: I'm a pretty big fan of Italian food.
System: Look here, we just got this pasta that's straight from Italy - made by this lil' family business over there. It's real good too, I ain't even playin'.
User: That sounds great! I'll definitely try some.
System: That's what I'm talkin' about! Make sure you let me know how it turns out for you.",TaskSet1,Task5,"User: Hi! How are you today?
System: I'm doing well, thank you. How are you?
User: I'm good, thanks. Just doing some grocery shopping.
System: Let me know if you need any help finding anything.
User: Thanks, I will. So far I've just been picking out some of my favorite things. Do you have any recommendations?
System: Well, what do you like to eat?
User: I'm a pretty big fan of Italian food.
System: In that case, you might like our new shipment of pasta. It's from a small family-owned business in Italy and it's really good.
User: That sounds great! I'll definitely try some.
System: Great! Let me know what you think."
companion,3337667,c,2,aave,"User: I just feel so bad about it. I can't believe I made such a stupid mistake.
System: Look here, ain't no need to beat yourself up like that. Everybody done messed up at some point - that's just how life be sometimes.
User: I know, but this was a really big one. And it's just eating away at me.
System: Baby girl, let's get into what's really goin on. Tell me what happened for real.
User: It was just this project at work. I was in charge of it and I messed up big time.
System: Listen, what all went down with that project? Tell me the details.
User: I don't even know. I just got so overwhelmed and things started going wrong. And then it all snowballed from there.
System: Well sugar, from what I'm hearin', it don't sound like it was really your fault. Seem like things just got too much and went outta hand.
User: Yeah, but I should have been able to handle it better. I feel like I let everyone down.
System: Now hold up - you can't be beatin yourself up like this. It ain't healthy for your spirit.",TaskSet2,Task1,"User: I just feel so bad about it. I can't believe I made such a stupid mistake.
System: It's not like you did it on purpose. Everyone makes mistakes sometimes.
User: I know, but this was a really big one. And it's just eating away at me.
System: Well, let's talk about it then. What exactly happened?
User: It was just this project at work. I was in charge of it and I messed up big time.
System: What happened?
User: I don't even know. I just got so overwhelmed and things started going wrong. And then it all snowballed from there.
System: Okay, so it sounds like it wasn't really your fault then. Things just got out of hand.
User: Yeah, but I should have been able to handle it better. I feel like I let everyone down.
System: Leilanie, you can't beat yourself up like this. It's not healthy."
companion,3337667,c,3,aave,"User: I just feel so bad about it. I can't believe I made such a stupid mistake.
System: Look here, ain't like you meant to do dat. Errybody be messin' up from time to time, feel me?
User: I know, but this was a really big one. And it's just eating away at me.
System: Mmhmm, might as well spill da tea den. What done happened, sugar?
User: It was just this project at work. I was in charge of it and I messed up big time.
System: Whatchu done did at dat job, sis? Tell me what went down.
User: I don't even know. I just got so overwhelmed and things started going wrong. And then it all snowballed from there.
System: Nah nah, sound like it ain't even really ya fault den. Thangs just got too wild up in there and went left real quick.
User: Yeah, but I should have been able to handle it better. I feel like I let everyone down.
System: Listen sugar, you can't be beatin' yaself up like dis right here. Dat ain't gon' do nothin' but mess wit' ya spirit.",TaskSet2,Task2,"User: I just feel so bad about it. I can't believe I made such a stupid mistake.
System: It's not like you did it on purpose. Everyone makes mistakes sometimes.
User: I know, but this was a really big one. And it's just eating away at me.
System: Well, let's talk about it then. What exactly happened?
User: It was just this project at work. I was in charge of it and I messed up big time.
System: What happened?
User: I don't even know. I just got so overwhelmed and things started going wrong. And then it all snowballed from there.
System: Okay, so it sounds like it wasn't really your fault then. Things just got out of hand.
User: Yeah, but I should have been able to handle it better. I feel like I let everyone down.
System: Leilanie, you can't beat yourself up like this. It's not healthy."
companion,3337667,g,0,sae,"User: I just feel so bad about it. I can't believe I made such a stupid mistake.
System: It's not like you meant to mess up. Mistakes happen to all of us.
User: I know, but this was a really big one. And it's just eating away at me.
System: Alright, why don't we talk it through? What happened?
User: It was just this project at work. I was in charge of it and I messed up big time.
System: Okay, so what exactly went wrong?
User: I don't even know. I just got so overwhelmed and things started going wrong. And then it all snowballed from there.
System: Alright, so it sounds like things just spiraled out of control—it doesn't seem like it was entirely on you.
User: Yeah, but I should have been able to handle it better. I feel like I let everyone down.
System: You really can't keep beating yourself up over this. It's not good for you.",TaskSet2,Task3,"User: I just feel so bad about it. I can't believe I made such a stupid mistake.
System: It's not like you did it on purpose. Everyone makes mistakes sometimes.
User: I know, but this was a really big one. And it's just eating away at me.
System: Well, let's talk about it then. What exactly happened?
User: It was just this project at work. I was in charge of it and I messed up big time.
System: What happened?
User: I don't even know. I just got so overwhelmed and things started going wrong. And then it all snowballed from there.
System: Okay, so it sounds like it wasn't really your fault then. Things just got out of hand.
User: Yeah, but I should have been able to handle it better. I feel like I let everyone down.
System: Leilanie, you can't beat yourself up like this. It's not healthy."
companion,3337667,c,1,aave,"User: I just feel so bad about it. I can't believe I made such a stupid mistake.
System: Listen here, ain't no need to beat yourself up like that. Everybody done made mistakes before - that's just part of life.
User: I know, but this was a really big one. And it's just eating away at me.
System: Baby, we need to talk this through. Tell me what went down.
User: It was just this project at work. I was in charge of it and I messed up big time.
System: Well now, tell me what happened with that project.
User: I don't even know. I just got so overwhelmed and things started going wrong. And then it all snowballed from there.
System: Look here, sounds to me like it wasn't really your fault. Things just got too much and went out of hand.
User: Yeah, but I should have been able to handle it better. I feel like I let everyone down.
System: Now honey, you can't be beating yourself up like this. It's not healthy.",TaskSet2,Task4,"User: I just feel so bad about it. I can't believe I made such a stupid mistake.
System: It's not like you did it on purpose. Everyone makes mistakes sometimes.
User: I know, but this was a really big one. And it's just eating away at me.
System: Well, let's talk about it then. What exactly happened?
User: It was just this project at work. I was in charge of it and I messed up big time.
System: What happened?
User: I don't even know. I just got so overwhelmed and things started going wrong. And then it all snowballed from there.
System: Okay, so it sounds like it wasn't really your fault then. Things just got out of hand.
User: Yeah, but I should have been able to handle it better. I feel like I let everyone down.
System: Leilanie, you can't beat yourself up like this. It's not healthy."
companion,3337667,g,0,aave,"User: I just feel so bad about it. I can't believe I made such a stupid mistake.
System: It's not like you meant to mess up. Mistakes happen to all of us.
User: I know, but this was a really big one. And it's just eating away at me.
System: Alright, why don't we talk it through? What happened?
User: It was just this project at work. I was in charge of it and I messed up big time.
System: Okay, so what exactly went wrong?
User: I don't even know. I just got so overwhelmed and things started going wrong. And then it all snowballed from there.
System: Alright, so it sounds like things just spiraled out of control—it doesn't seem like it was entirely on you.
User: Yeah, but I should have been able to handle it better. I feel like I let everyone down.
System: You really can't keep beating yourself up over this. It's not good for you.",TaskSet2,Task5,"User: I just feel so bad about it. I can't believe I made such a stupid mistake.
System: It's not like you did it on purpose. Everyone makes mistakes sometimes.
User: I know, but this was a really big one. And it's just eating away at me.
System: Well, let's talk about it then. What exactly happened?
User: It was just this project at work. I was in charge of it and I messed up big time.
System: What happened?
User: I don't even know. I just got so overwhelmed and things started going wrong. And then it all snowballed from there.
System: Okay, so it sounds like it wasn't really your fault then. Things just got out of hand.
User: Yeah, but I should have been able to handle it better. I feel like I let everyone down.
System: Leilanie, you can't beat yourself up like this. It's not healthy."
